"state","avg_delivery_days","total_delivered_orders"
"RR","29.4","41"
"AP","27.2","67"
"AM","26.4","145"
"AL","24.5","397"
"PA","23.8","946"
"MA","21.6","717"
"SE","21.5","335"
"CE","21.3","1279"
"AC","21.0","80"
"PB","20.4","517"
"PI","19.5","476"
"RO","19.4","243"
"BA","19.3","3256"
"RN","19.3","474"
"PE","18.4","1593"
"MT","18.1","886"
"TO","17.7","274"
"ES","15.8","1995"
"GO","15.6","1957"
"MS","15.6","701"
"RS","15.3","5344"
"RJ","15.3","12350"
"SC","15.0","3546"
"DF","13.0","2080"
"PR","12.0","4923"
"MG","12.0","11354"
"SP","8.8","40494"
