"category","avg_review_score","review_count"
"books_general_interest","4.45","549"
"books_technical","4.37","266"
"food_drink","4.32","279"
"luggage_accessories","4.32","1088"
"fashion_shoes","4.23","261"
"food","4.22","495"
"stationery","4.19","2507"
"pet_shop","4.19","1939"
"computers","4.18","200"
"home_appliances","4.17","806"
"toys","4.16","4091"
"perfumery","4.16","3421"
"small_appliances","4.15","677"
"cool_stuff","4.15","3772"
"musical_instruments","4.15","675"
"fashion_bags_accessories","4.14","2039"
"home_appliances_2","4.14","238"
"health_beauty","4.14","9645"
"furniture_bedroom","4.12","110"
"sports_leisure","4.11","8640"
"industry_commerce_and_business","4.10","266"
"signaling_and_security","4.09","197"
"auto","4.07","4213"
"housewares","4.06","6943"
"construction_tools_lights","4.05","296"
"costruction_tools_garden","4.05","240"
"construction_tools_construction","4.05","926"
"drinks","4.05","377"
"electronics","4.04","2749"
"garden_tools","4.04","4329"
"watches_gifts","4.02","5950"
"consoles_games","4.02","1127"
"market_place","4.02","309"
"christmas_supplies","4.02","146"
"baby","4.01","3048"
"agro_industry_and_commerce","4.00","212"
"fashion_underwear_beach","3.98","130"
"air_conditioning","3.97","292"
"kitchen_dining_laundry_garden_furniture","3.96","280"
"telephony","3.95","4517"
"home_construction","3.94","600"
"art","3.94","207"
"computers_accessories","3.93","7849"
"furniture_decor","3.90","8331"
"bed_bath_table","3.90","11137"
"furniture_living_room","3.90","502"
"construction_tools_safety","3.84","193"
"audio","3.83","361"
"home_confort","3.83","435"
"fixed_telephony","3.68","262"
"fashion_male_clothing","3.64","131"
"office_furniture","3.49","1687"
